ticker,sector,industry
RRL.AX,Basic Materials,Gold
DYL.AX,Energy,Uranium
BSL.AX,Basic Materials,Steel
DEG.AX,Basic Materials,Gold
EVN.AX,Basic Materials,Gold
SIG.AX,Healthcare,Medical Distribution
IFL.AX,Financial Services,Asset Management
QBE.AX,Financial Services,Insurance - Property & Casualty
NST.AX,Basic Materials,Gold
CGF.AX,Financial Services,Insurance - Life
TAH.AX,Consumer Cyclical,Gambling
ABC.AX,Basic Materials,Building Materials
PRN.AX,Basic Materials,Other Industrial Metals & Mining
ANZ.AX,Financial Services,Banks - Diversified
WBC.AX,Financial Services,Banks - Diversified
EMR.AX,Basic Materials,Gold
BHP.AX,Basic Materials,Other Industrial Metals & Mining
CSR.AX,Industrials,Building Products & Equipment
ANN.AX,Healthcare,Medical Instruments & Supplies
NAB.AX,Financial Services,Banks - Diversified
STO.AX,Energy,Oil & Gas E&P
CWY.AX,Industrials,Waste Management
MTS.AX,Consumer Defensive,Food Distribution
SEK.AX,Communication Services,Internet Content & Information
MFG.AX,Financial Services,Asset Management
DMP.AX,Consumer Cyclical,Restaurants
SGM.AX,Basic Materials,Steel
AUB.AX,Financial Services,Insurance Brokers
SDF.AX,Financial Services,Insurance Brokers
BGL.AX,Basic Materials,Gold
KLS.AX,Industrials,Railroads
EML.AX,Technology,Software - Infrastructure
NEC.AX,Communication Services,Entertainment
ORA.AX,Consumer Cyclical,Packaging & Containers
CHN.AX,Basic Materials,Other Industrial Metals & Mining
BAP.AX,Consumer Cyclical,Specialty Retail
AGL.AX,Utilities,Utilities - Independent Power Producers
CIA.AX,Basic Materials,Steel
HLI.AX,Financial Services,Insurance - Specialty
SIQ.AX,Industrials,Specialty Business Services
GOR.AX,Basic Materials,Gold
IPH.AX,Industrials,Specialty Business Services
LOV.AX,Consumer Cyclical,Specialty Retail
MIN.AX,Basic Materials,Other Industrial Metals & Mining
S32.AX,Basic Materials,Other Industrial Metals & Mining
BXB.AX,Industrials,Specialty Business Services
CGC.AX,Consumer Defensive,Farm Products
LNK.AX,Financial Services,Capital Markets
IEL.AX,Consumer Defensive,Education & Training Services
TPW.AX,Consumer Cyclical,Internet Retail
MP1.AX,Technology,Software - Infrastructure
MYX.AX,Healthcare,Drug Manufacturers - General
WTC.AX,Technology,Software - Application
RWC.AX,Industrials,Building Products & Equipment
NAN.AX,Healthcare,Medical Instruments & Supplies
BOE.AX,Basic Materials,Other Industrial Metals & Mining
WHC.AX,Energy,Thermal Coal
PNI.AX,Financial Services,Asset Management
HUB.AX,Financial Services,Capital Markets
GMD.AX,Basic Materials,Gold
NWH.AX,Industrials,Engineering & Construction
KGN.AX,Consumer Cyclical,Internet Retail
SLR.AX,Basic Materials,Gold
MQG.AX,Financial Services,Capital Markets
NHF.AX,Financial Services,Insurance - Specialty
ING.AX,Consumer Defensive,Farm Products
WGX.AX,Basic Materials,Gold
AD8.AX,Technology,Electronic Components
CMM.AX,Basic Materials,Gold
JLG.AX,Industrials,Engineering & Construction
DHG.AX,Communication Services,Internet Content & Information
TLX.AX,Healthcare,Biotechnology
NWL.AX,Financial Services,Capital Markets
VEA.AX,Energy,Oil & Gas Refining & Marketing
NIC.AX,Basic Materials,Other Industrial Metals & Mining
CRN.AX,Basic Materials,Coking Coal
COL.AX,Consumer Defensive,Grocery Stores
MPL.AX,Financial Services,Insurance - Specialty
CAR.AX,Communication Services,Internet Content & Information
TYR.AX,Technology,Software - Infrastructure
TPG.AX,Communication Services,Telecom Services
DRR.AX,Basic Materials,Other Industrial Metals & Mining
ABB.AX,Communication Services,Telecom Services
EDV.AX,Consumer Defensive,Beverages - Wineries & Distilleries
PXA.AX,Real Estate,Real Estate Services
SMR.AX,Basic Materials,Coking Coal
ALX.AX,Industrials,Infrastructure Operations
SUM.NZ,Healthcare,Medical Care Facilities
CNU.NZ,Communication Services,Telecom Services
AIA.NZ,Industrials,Airports & Air Services
IFT.NZ,Utilities,Utilities - Renewable
FPH.NZ,Healthcare,Medical Instruments & Supplies
FBU.NZ,Basic Materials,Building Materials
CEN.NZ,Utilities,Utilities - Renewable
ATM.NZ,Consumer Defensive,Packaged Foods
MFT.NZ,Industrials,Integrated Freight & Logistics
RYM.NZ,Healthcare,Medical Care Facilities
EBO.NZ,Healthcare,Medical Distribution
SPK.NZ,Communication Services,Telecom Services
MCY.NZ,Utilities,Utilities - Renewable
MEL.NZ,Utilities,Utilities - Renewable
1999.HK,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
1972.HK,Real Estate,Real Estate Services
1299.HK,Financial Services,Insurance - Life
2282.HK,Consumer Cyclical,Resorts & Casinos
1929.HK,Consumer Cyclical,Luxury Goods
6823.HK,Communication Services,Telecom Services
2343.HK,Industrials,Marine Shipping
0570.HK,Healthcare,Drug Manufacturers - Specialty & Generic
0027.HK,Consumer Cyclical,Resorts & Casinos
0522.HK,Technology,Semiconductor Equipment & Materials
2688.HK,Utilities,Utilities - Regulated Gas
0551.HK,Consumer Cyclical,Footwear & Accessories
0710.HK,Technology,Electronic Components
0008.HK,Communication Services,Telecom Services
0101.HK,Real Estate,Real Estate Services
0388.HK,Financial Services,Financial Data & Stock Exchanges
0066.HK,Industrials,Railroads
0006.HK,Utilities,Utilities - Independent Power Producers
0003.HK,Utilities,Utilities - Regulated Gas
0083.HK,Real Estate,Real Estate - Development
0002.HK,Utilities,Utilities - Regulated Electric
0012.HK,Real Estate,Real Estate - Diversified
1038.HK,Utilities,Utilities - Regulated Electric
0016.HK,Real Estate,Real Estate - Development
0011.HK,Financial Services,Banks - Regional
0683.HK,Real Estate,Real Estate - Development
2388.HK,Financial Services,Banks - Regional
0590.HK,Consumer Cyclical,Luxury Goods
0019.HK,Industrials,Conglomerates
0004.HK,Real Estate,Real Estate - Development
0014.HK,Real Estate,Real Estate Services
0200.HK,Consumer Cyclical,Resorts & Casinos
0017.HK,Real Estate,Real Estate - Diversified
0669.HK,Industrials,Tools & Accessories
3613.HK,Healthcare,Drug Manufacturers - Specialty & Generic
1316.HK,Consumer Cyclical,Auto Parts
2638.HK,Utilities,Utilities - Regulated Electric
1310.HK,Communication Services,Telecom Services
0001.HK,Industrials,Conglomerates
1415.HK,Technology,Electronic Components
1113.HK,Real Estate,Real Estate - Development
0656.HK,Industrials,Conglomerates
1997.HK,Real Estate,Real Estate Services
1876.HK,Consumer Defensive,Beverages - Brewers
1128.HK,Consumer Cyclical,Resorts & Casinos
1928.HK,Consumer Cyclical,Resorts & Casinos
OV8.SI,Consumer Defensive,Grocery Stores
9CI.SI,Real Estate,Real Estate Services
C09.SI,Real Estate,Real Estate - Development
U96.SI,Industrials,Conglomerates
BSL.SI,Healthcare,Medical Care Facilities
U11.SI,Financial Services,Banks - Regional
U14.SI,Real Estate,Real Estate - Development
V03.SI,Technology,Electronic Components
S63.SI,Industrials,Aerospace & Defense
S58.SI,Industrials,Airports & Air Services
S68.SI,Financial Services,Financial Data & Stock Exchanges
AWX.SI,Technology,Semiconductor Equipment & Materials
558.SI,Technology,Semiconductor Equipment & Materials
C52.SI,Industrials,Railroads
E5H.SI,Consumer Defensive,Farm Products
D05.SI,Financial Services,Banks - Regional
S51.SI,Industrials,Aerospace & Defense
C07.SI,Industrials,Conglomerates
G13.SI,Consumer Cyclical,Resorts & Casinos
C6L.SI,Industrials,Airlines
Z74.SI,Communication Services,Telecom Services
E28.SI,Technology,Electronic Components
O39.SI,Financial Services,Banks - Regional
5WH.SI,Energy,Oil & Gas E&P
F34.SI,Consumer Defensive,Packaged Foods
AIY.SI,Technology,Software - Application
BN4.SI,Industrials,Conglomerates
CY6U.SI,Real Estate,Real Estate Services
EB5.SI,Consumer Defensive,Packaged Foods
CJLU.SI,Communication Services,Telecom Services
MZH.SI,Technology,Electronic Components
ICBP.JK,Consumer Defensive,Packaged Foods
GOTO.JK,Technology,Software - Application
ISAT.JK,Communication Services,Telecom Services
BBCA.JK,Financial Services,Banks - Regional
TLKM.JK,Communication Services,Telecom Services
MAPI.JK,Consumer Cyclical,Department Stores
BBRI.JK,Financial Services,Banks - Regional
ANTM.JK,Basic Materials,Gold
KLBF.JK,Healthcare,Drug Manufacturers - General
ASII.JK,Consumer Cyclical,Auto Parts
BRPT.JK,Basic Materials,Chemicals
UNTR.JK,Basic Materials,Other Industrial Metals & Mining
INDF.JK,Consumer Defensive,Packaged Foods
CPIN.JK,Consumer Defensive,Farm Products
UNVR.JK,Consumer Defensive,Household & Personal Products
SMGR.JK,Basic Materials,Building Materials
BMRI.JK,Financial Services,Banks - Regional
BBNI.JK,Financial Services,Banks - Regional
MDKA.JK,Basic Materials,Other Industrial Metals & Mining
ADRO.JK,Energy,Thermal Coal
AMRT.JK,Consumer Defensive,Grocery Stores
TOWR.JK,Communication Services,Telecom Services
128940.KS,Healthcare,Drug Manufacturers - Specialty & Generic
081660.KS,Consumer Cyclical,Leisure
011210.KS,Consumer Cyclical,Auto Parts
020150.KS,Industrials,Electrical Equipment & Parts
139130.KS,Financial Services,Banks - Regional
138930.KS,Financial Services,Banks - Regional
139480.KS,Consumer Defensive,Discount Stores
138040.KS,Financial Services,Asset Management
047810.KS,Industrials,Aerospace & Defense
007070.KS,Consumer Cyclical,Department Stores
377300.KS,Technology,Software - Infrastructure
259960.KS,Communication Services,Electronic Gaming & Multimedia
329180.KS,Industrials,Aerospace & Defense
402340.KS,Technology,Semiconductors
078930.KS,Industrials,Conglomerates
003690.KS,Financial Services,Insurance - Reinsurance
001450.KS,Financial Services,Insurance - Property & Casualty
034220.KS,Technology,Consumer Electronics
018880.KS,Consumer Cyclical,Auto Parts
001060.KS,Healthcare,Drug Manufacturers - Specialty & Generic
035720.KS,Communication Services,Internet Content & Information
066570.KS,Technology,Consumer Electronics
014680.KS,Basic Materials,Chemicals
000100.KS,Healthcare,Drug Manufacturers - Specialty & Generic
079160.KS,Communication Services,Entertainment
004020.KS,Basic Materials,Steel
024110.KS,Financial Services,Banks - Regional
047040.KS,Industrials,Engineering & Construction
047050.KS,Industrials,Industrial Distribution
051900.KS,Consumer Defensive,Household & Personal Products
003850.KS,Healthcare,Drug Manufacturers - Specialty & Generic
012750.KS,Industrials,Security & Protection Services
018670.KS,Energy,Oil & Gas Refining & Marketing
036570.KS,Communication Services,Electronic Gaming & Multimedia
002380.KS,Industrials,Building Products & Equipment
000270.KS,Consumer Cyclical,Auto Manufacturers
001430.KS,Basic Materials,Steel
005880.KS,Industrials,Marine Shipping
010130.KS,Basic Materials,Other Industrial Metals & Mining
004000.KS,Basic Materials,Chemicals
000880.KS,Industrials,Conglomerates
003490.KS,Industrials,Airlines
000120.KS,Industrials,Integrated Freight & Logistics
034020.KS,Industrials,Specialty Industrial Machinery
006260.KS,Industrials,Electrical Equipment & Parts
010120.KS,Industrials,Electrical Equipment & Parts
069620.KS,Healthcare,Drug Manufacturers - Specialty & Generic
069960.KS,Consumer Cyclical,Department Stores
035250.KS,Consumer Cyclical,Resorts & Casinos
006400.KS,Technology,Electronic Components
009150.KS,Technology,Electronic Components
006280.KS,Healthcare,Drug Manufacturers - Specialty & Generic
003230.KS,Consumer Defensive,Packaged Foods
010140.KS,Industrials,Aerospace & Defense
012450.KS,Industrials,Aerospace & Defense
004170.KS,Consumer Cyclical,Department Stores
039130.KS,Consumer Cyclical,Travel Services
051910.KS,Basic Materials,Chemicals
030000.KS,Communication Services,Advertising Agencies
055550.KS,Financial Services,Banks - Regional
011780.KS,Basic Materials,Specialty Chemicals
017960.KS,Basic Materials,Chemicals
000810.KS,Financial Services,Insurance - Property & Casualty
005830.KS,Financial Services,Insurance - Property & Casualty
021240.KS,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
033780.KS,Consumer Defensive,Tobacco
042670.KS,Industrials,Farm & Heavy Construction Machinery
000210.KS,Basic Materials,Specialty Chemicals
006800.KS,Financial Services,Capital Markets
071050.KS,Financial Services,Capital Markets
002790.KS,Consumer Defensive,Household & Personal Products
005490.KS,Basic Materials,Steel
010950.KS,Energy,Oil & Gas Refining & Marketing
009830.KS,Basic Materials,Chemicals
016360.KS,Financial Services,Capital Markets
011170.KS,Basic Materials,Chemicals
009540.KS,Industrials,Aerospace & Defense
012330.KS,Consumer Cyclical,Auto Parts
000660.KS,Technology,Semiconductors
000720.KS,Industrials,Engineering & Construction
005380.KS,Consumer Cyclical,Auto Manufacturers
005300.KS,Consumer Defensive,Beverages - Non-Alcoholic
003550.KS,Technology,Consumer Electronics
005940.KS,Financial Services,Capital Markets
006360.KS,Industrials,Engineering & Construction
001120.KS,Industrials,Conglomerates
004370.KS,Consumer Defensive,Packaged Foods
028050.KS,Industrials,Engineering & Construction
000150.KS,Industrials,Conglomerates
005930.KS,Technology,Consumer Electronics
000080.KS,Consumer Defensive,Beverages - Wineries & Distilleries
097520.KS,Technology,Electronic Components
161390.KS,Consumer Cyclical,Auto Parts
161890.KS,Consumer Defensive,Household & Personal Products
042700.KS,Technology,Semiconductor Equipment & Materials
064350.KS,Industrials,Railroads
175330.KS,Financial Services,Banks - Regional
185750.KS,Healthcare,Drug Manufacturers - Specialty & Generic
086790.KS,Financial Services,Banks - Regional
086280.KS,Industrials,Integrated Freight & Logistics
023530.KS,Consumer Cyclical,Department Stores
192820.KS,Consumer Defensive,Household & Personal Products
009420.KS,Healthcare,Drug Manufacturers - Specialty & Generic
204320.KS,Consumer Cyclical,Auto Parts
090430.KS,Consumer Defensive,Household & Personal Products
018260.KS,Technology,Information Technology Services
112610.KS,Industrials,Specialty Industrial Machinery
028260.KS,Industrials,Engineering & Construction
210980.KS,Real Estate,Real Estate - Diversified
214320.KS,Communication Services,Advertising Agencies
079550.KS,Industrials,Aerospace & Defense
192080.KS,Communication Services,Electronic Gaming & Multimedia
039490.KS,Financial Services,Capital Markets
035420.KS,Communication Services,Internet Content & Information
068270.KS,Healthcare,Biotechnology
032830.KS,Financial Services,Insurance - Life
090460.KS,Technology,Electronic Components
195870.KS,Technology,Semiconductor Equipment & Materials
029780.KS,Financial Services,Credit Services
096770.KS,Energy,Oil & Gas Refining & Marketing
097950.KS,Consumer Defensive,Packaged Foods
028670.KS,Industrials,Marine Shipping
241560.KS,Industrials,Farm & Heavy Construction Machinery
051600.KS,Industrials,Engineering & Construction
207940.KS,Healthcare,Biotechnology
145720.KS,Healthcare,Medical Instruments & Supplies
251270.KS,Communication Services,Electronic Gaming & Multimedia
267270.KS,Industrials,Farm & Heavy Construction Machinery
267250.KS,Energy,Oil & Gas Refining & Marketing
267260.KS,Industrials,Electrical Equipment & Parts
271560.KS,Consumer Defensive,Confectioners
011070.KS,Technology,Electronic Components
034730.KS,Industrials,Conglomerates
103140.KS,Industrials,Metal Fabrication
100090.KS,Industrials,Aerospace & Defense
105560.KS,Financial Services,Banks - Regional
105630.KS,Consumer Cyclical,Apparel Manufacturing
280360.KS,Consumer Defensive,Confectioners
282330.KS,Consumer Defensive,Grocery Stores
298040.KS,Industrials,Specialty Industrial Machinery
298020.KS,Consumer Cyclical,Textile Manufacturing
298050.KS,Consumer Cyclical,Textile Manufacturing
316140.KS,Financial Services,Banks - Regional
307950.KS,Technology,Information Technology Services
111770.KS,Consumer Cyclical,Apparel Manufacturing
336370.KS,Technology,Electronic Components
272210.KS,Industrials,Aerospace & Defense
052690.KS,Industrials,Engineering & Construction
353200.KS,Technology,Electronic Components
326030.KS,Healthcare,Biotechnology
352820.KS,Communication Services,Entertainment
248070.KS,Technology,Electronic Components
375500.KS,Industrials,Engineering & Construction
361610.KS,Technology,Electronic Components
383220.KS,Consumer Cyclical,Apparel Manufacturing
120110.KS,Basic Materials,Chemicals
088350.KS,Financial Services,Insurance - Life
5183.KL,Basic Materials,Chemicals
5199.KL,Energy,Oil & Gas E&P
BUMI.JK,Energy,Thermal Coal
0166.KL,Technology,Semiconductor Equipment & Materials
5211.KL,Industrials,Conglomerates
7084.KL,Consumer Defensive,Farm Products
1295.KL,Financial Services,Banks - Regional
7277.KL,Energy,Oil & Gas Equipment & Services
4707.KL,Consumer Defensive,Packaged Foods
8869.KL,Basic Materials,Aluminum
6033.KL,Utilities,Utilities - Regulated Gas
5398.KL,Industrials,Engineering & Construction
7293.KL,Energy,Oil & Gas Equipment & Services
5031.KL,Communication Services,Telecom Services
5014.KL,Industrials,Airports & Air Services
5347.KL,Utilities,Utilities - Regulated Electric
5819.KL,Financial Services,Banks - Regional
3816.KL,Industrials,Marine Shipping
1023.KL,Financial Services,Banks - Regional
7160.KL,Industrials,Specialty Industrial Machinery
5681.KL,Energy,Oil & Gas Refining & Marketing
4863.KL,Communication Services,Telecom Services
8664.KL,Real Estate,Real Estate - Development
1015.KL,Financial Services,Banks - Regional
4677.KL,Utilities,Utilities - Diversified
1082.KL,Financial Services,Banks - Regional
3336.KL,Industrials,Conglomerates
2445.KL,Consumer Defensive,Farm Products
1155.KL,Financial Services,Banks - Regional
4065.KL,Consumer Defensive,Farm Products
4588.KL,Consumer Cyclical,Auto & Truck Dealerships
5225.KL,Healthcare,Medical Care Facilities
5248.KL,Consumer Cyclical,Auto & Truck Dealerships
5243.KL,Energy,Oil & Gas Drilling
5246.KL,Industrials,Marine Shipping
5249.KL,Real Estate,Real Estate - Development
0128.KL,Industrials,Specialty Business Services
5141.KL,Energy,Oil & Gas Equipment & Services
0138.KL,Technology,Information Technology Services
3182.KL,Consumer Cyclical,Resorts & Casinos
4715.KL,Consumer Cyclical,Resorts & Casinos
1961.KL,Consumer Defensive,Packaged Foods
4197.KL,Consumer Cyclical,Auto Manufacturers
1066.KL,Financial Services,Banks - Regional
6888.KL,Communication Services,Telecom Services
5285.KL,Consumer Defensive,Packaged Foods
5288.KL,Real Estate,Real Estate - Development
5296.KL,Consumer Cyclical,Home Improvement Retail
6012.KL,Communication Services,Telecom Services
0151.KL,Industrials,Engineering & Construction
4938.TW,Technology,Computer Hardware
4147.TWO,Healthcare,Biotechnology
8422.TW,Industrials,Waste Management
3673.TW,Technology,Electronic Components
2723.TW,Consumer Cyclical,Restaurants
1590.TW,Industrials,Specialty Industrial Machinery
2727.TW,Consumer Cyclical,Restaurants
5871.TW,Financial Services,Credit Services
4966.TWO,Technology,Semiconductors
8436.TWO,Consumer Defensive,Household & Personal Products
4958.TW,Technology,Electronic Components
3324.TWO,Technology,Computer Hardware
1303.TW,Basic Materials,Specialty Chemicals
3413.TW,Technology,Semiconductor Equipment & Materials
1305.TW,Basic Materials,Specialty Chemicals
2002.TW,Basic Materials,Steel
2301.TW,Technology,Computer Hardware
6176.TW,Technology,Electronic Components
6182.TWO,Technology,Semiconductor Equipment & Materials
2912.TW,Consumer Defensive,Grocery Stores
6279.TWO,Consumer Cyclical,Auto Parts
2344.TW,Technology,Semiconductors
2327.TW,Technology,Electronic Components
2014.TW,Basic Materials,Steel
2439.TW,Technology,Consumer Electronics
2313.TW,Technology,Electronic Components
2324.TW,Technology,Computer Hardware
2345.TW,Technology,Communication Equipment
2353.TW,Technology,Computer Hardware
1402.TW,Consumer Cyclical,Textile Manufacturing
9939.TW,Consumer Cyclical,Packaging & Containers
5483.TWO,Technology,Semiconductor Equipment & Materials
9910.TW,Consumer Cyclical,Footwear & Accessories
3042.TW,Technology,Electronic Components
2357.TW,Technology,Computer Hardware
2379.TW,Technology,Semiconductors
5347.TWO,Technology,Semiconductors
2618.TW,Industrials,Airlines
2474.TW,Industrials,Metal Fabrication
2355.TW,Technology,Electronic Components
6239.TW,Technology,Semiconductor Equipment & Materials
8299.TWO,Technology,Computer Hardware
3218.TWO,Healthcare,Medical Devices
6278.TW,Technology,Semiconductors
1319.TW,Consumer Cyclical,Auto Parts
2006.TW,Basic Materials,Steel
6213.TW,Technology,Electronic Components
2337.TW,Technology,Semiconductors
6223.TWO,Technology,Semiconductor Equipment & Materials
1736.TW,Consumer Cyclical,Leisure
2892.TW,Financial Services,Banks - Regional
1477.TW,Consumer Cyclical,Apparel Manufacturing
9914.TW,Consumer Cyclical,Leisure
9938.TW,Consumer Cyclical,Textile Manufacturing
5371.TWO,Technology,Consumer Electronics
3045.TW,Communication Services,Telecom Services
9921.TW,Consumer Cyclical,Leisure
2454.TW,Technology,Semiconductors
1707.TW,Healthcare,Drug Manufacturers - Specialty & Generic
6147.TWO,Technology,Semiconductors
2884.TW,Financial Services,Banks - Regional
2317.TW,Technology,Electronic Components
6285.TW,Technology,Communication Equipment
6269.TW,Technology,Electronic Components
2330.TW,Technology,Semiconductors
1102.TW,Basic Materials,Building Materials
2377.TW,Technology,Computer Hardware
3037.TW,Technology,Electronic Components
2385.TW,Technology,Computer Hardware
9933.TW,Industrials,Engineering & Construction
2412.TW,Communication Services,Telecom Services
2409.TW,Technology,Electronic Components
3044.TW,Technology,Electronic Components
1476.TW,Consumer Cyclical,Apparel Manufacturing
1301.TW,Basic Materials,Specialty Chemicals
1326.TW,Basic Materials,Chemicals
3023.TW,Technology,Electronic Components
2449.TW,Technology,Semiconductors
4105.TWO,Healthcare,Drug Manufacturers - Specialty & Generic
6121.TWO,Industrials,Electrical Equipment & Parts
2885.TW,Financial Services,Financial Conglomerates
2882.TW,Financial Services,Insurance - Life
5388.TW,Technology,Communication Equipment
2395.TW,Technology,Computer Hardware
2360.TW,Technology,Scientific & Technical Instruments
5434.TW,Technology,Electronics & Computer Distribution
2308.TW,Technology,Electronic Components
9904.TW,Consumer Cyclical,Footwear & Accessories
1216.TW,Consumer Defensive,Packaged Foods
2351.TW,Technology,Semiconductor Equipment & Materials
2881.TW,Financial Services,Insurance - Life
3005.TW,Technology,Computer Hardware
2455.TW,Technology,Semiconductor Equipment & Materials
2886.TW,Financial Services,Banks - Regional
3008.TW,Technology,Electronic Components
2887.TW,Financial Services,Banks - Regional
2891.TW,Financial Services,Banks - Regional
5904.TWO,Consumer Cyclical,Department Stores
6196.TW,Technology,Electronic Components
6505.TW,Energy,Oil & Gas Refining & Marketing
8069.TWO,Technology,Electronic Components
1101.TW,Basic Materials,Building Materials
1504.TW,Industrials,Specialty Industrial Machinery
5274.TWO,Technology,Semiconductors
5289.TWO,Technology,Computer Hardware
6414.TW,Technology,Computer Hardware
6409.TW,Industrials,Electrical Equipment & Parts
3481.TW,Technology,Electronic Components
8150.TW,Technology,Semiconductors
5876.TW,Financial Services,Banks - Regional
3702.TW,Technology,Electronics & Computer Distribution
6415.TW,Technology,Semiconductors
6446.TWO,Healthcare,Drug Manufacturers - Specialty & Generic
3081.TWO,Technology,Semiconductor Equipment & Materials
6469.TWO,Healthcare,Pharmaceutical Retailers
6488.TWO,Technology,Semiconductors
6510.TWO,Technology,Semiconductor Equipment & Materials
8464.TW,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
3533.TW,Technology,Electronic Components
6456.TW,Technology,Electronic Components
4904.TW,Communication Services,Telecom Services
2049.TW,Industrials,Tools & Accessories
3708.TW,Basic Materials,Specialty Chemicals
6589.TWO,Healthcare,Biotechnology
3596.TW,Technology,Communication Equipment
3587.TWO,Technology,Scientific & Technical Instruments
3529.TWO,Technology,Semiconductors
8081.TW,Technology,Semiconductors
6643.TWO,Technology,Semiconductors
6670.TW,Consumer Cyclical,Leisure
6679.TWO,Technology,Semiconductors
3711.TW,Technology,Semiconductors
6732.TWO,Technology,Electronic Components
6741.TWO,Technology,Software - Infrastructure
3714.TW,Technology,Electronic Components
3105.TWO,Technology,Semiconductors
4915.TW,Technology,Computer Hardware
BEP-UN.TO,Utilities,Utilities - Renewable
AEM.TO,Basic Materials,Gold
ACO-X.TO,Utilities,Utilities - Diversified
ABX.TO,Basic Materials,Gold
BCE.TO,Communication Services,Telecom Services
BN.TO,Financial Services,Asset Management
T.TO,Communication Services,Telecom Services
